Case_ID,Case_Type,Priority,Received_Date,Start_Time,End_Time,Agent_ID,Agent_Name,Department,Status,SLA_Target_Hours,Country
CASE-100001,AML Review,Low,2026-04-14,2026-04-14 18:14:03,2026-04-14 21:30:04,AGT0052,George Gutierrez,AML Operations,Closed,40,Mexico
CASE-100002,AML Review,Medium,2025-11-16,2025-11-16 04:40:41,2025-11-17 17:41:48,AGT0091,Wei Collins,AML Operations,Closed,60,United States
CASE-100003,AML Review,Low,2026-05-21,2026-05-21 21:36:56,2026-05-22 03:15:30,AGT0037,Noah Flores,AML Operations,Closed,40,Canada
CASE-100004,AML Review,High,2025-11-13,2025-11-13 05:22:23,2025-11-15 18:56:39,AGT0085,Omar Morgan,AML Operations,Closed,90,India
CASE-100005,KYC Review,High,2026-06-12,2026-06-12 02:36:46,2026-06-14 02:49:59,AGT0087,Jason Young,KYC Operations,Closed,75,United States
CASE-100006,AML Review,Medium,2025-08-09,2025-08-09 12:55:30,2025-08-10 08:50:39,AGT0034,Amy White,AML Operations,Closed,60,Germany
CASE-100007,Fraud Alert,Low,2025-11-22,2025-11-22 11:55:25,2025-11-22 20:54:07,AGT0020,Donna Williams,Fraud Operations,Closed,30,India
CASE-100008,AML Review,Medium,2025-11-10,2025-11-11 02:04:55,2025-11-11 18:16:49,AGT0052,George Gutierrez,AML Operations,Closed,60,United States
CASE-100009,KYC Review,Low,2026-05-12,2026-05-12 22:36:43,2026-05-13 11:06:39,AGT0012,David Ortiz,KYC Operations,Closed,32,United States
CASE-100010,AML Review,High,2026-03-23,2026-03-23 15:16:02,2026-03-24 09:25:32,AGT0007,Mary Thompson,AML Operations,Closed,90,Mexico
CASE-100011,AML Review,Low,2025-09-11,2025-09-12 00:30:39,2025-09-12 08:06:22,AGT0028,Anthony Gray,AML Operations,Closed,40,Canada
CASE-100012,AML Review,High,2026-02-25,2026-02-25 19:58:07,2026-02-26 21:30:53,AGT0025,Benjamin James,AML Operations,Closed,90,United States
CASE-100013,KYC Review,Medium,2025-08-20,2025-08-21 02:21:53,,AGT0066,Karen Carter,KYC Operations,Pending,50,Canada
CASE-100014,KYC Review,High,2025-09-12,2025-09-12 03:36:57,2025-09-14 14:04:58,AGT0051,Chloe Adams,KYC Operations,Closed,75,South Africa
CASE-100015,AML Review,Low,2026-01-13,2026-01-13 07:06:03,2026-01-13 14:27:53,AGT0022,Nancy Patel,AML Operations,Closed,40,United States
CASE-100016,Fraud Alert,Medium,2025-10-29,2025-10-29 23:40:45,2025-10-31 13:23:55,AGT0011,Brenda Bennett,Fraud Operations,Closed,40,United Kingdom
CASE-100017,Fraud Alert,High,2026-02-25,2026-02-25 08:53:00,2026-02-26 17:25:42,AGT0044,Kenneth Cook,Fraud Operations,Closed,48,Singapore
CASE-100018,KYC Review,Medium,2025-11-28,2025-11-28 11:42:10,2025-11-28 19:32:24,AGT0060,Gary Smith,KYC Operations,Closed,50,Germany
CASE-100019,Fraud Alert,Low,2026-05-01,2026-05-01 05:57:06,2026-05-01 14:42:18,AGT0077,Betty Mendoza,Fraud Operations,Closed,30,United States
CASE-100020,Fraud Alert,Medium,2026-04-26,2026-04-26 04:01:24,,AGT0062,Jennifer Scott,Fraud Operations,Pending,40,United States
CASE-100021,KYC Review,Low,2025-11-22,2025-11-22 07:13:20,2025-11-22 13:52:59,AGT0023,Steven Johnson,KYC Operations,Closed,32,Philippines
CASE-100022,Fraud Alert,Low,2026-03-27,2026-03-27 10:47:44,2026-03-27 23:57:28,AGT0098,Patricia Alvarez,Fraud Operations,Closed,30,United States
CASE-100023,KYC Review,Medium,2025-08-23,2025-08-23 08:16:53,2025-08-24 06:23:07,AGT0048,Jacob Hughes,KYC Operations,Closed,50,Australia
CASE-100024,AML Review,Medium,2026-02-08,2026-02-08 16:49:41,2026-02-09 15:45:13,AGT0019,Scott Walker,AML Operations,Closed,60,United States
CASE-100025,Fraud Alert,Medium,2026-03-13,2026-03-13 12:21:13,2026-03-15 12:21:08,AGT0049,Linda Cruz,Fraud Operations,Closed,40,India
CASE-100026,AML Review,Medium,2026-05-04,2026-05-04 18:45:34,2026-05-05 14:33:48,AGT0073,Laura Miller,AML Operations,Closed,60,United States
CASE-100027,KYC Review,High,2025-12-22,2025-12-22 08:17:24,2025-12-24 07:03:52,AGT0072,Diego Anderson,KYC Operations,Closed,75,Singapore
CASE-100028,Fraud Alert,High,2026-05-16,2026-05-17 05:33:31,2026-05-18 22:24:57,AGT0016,Amanda Jones,Fraud Operations,Closed,48,Singapore
